hey guy glad see mangos back; neu
c-hacker case include loop code part; neu
love constant something loop; compound
tipo; neu
already fix anyway thank report; neu
look code modify function spell affect; neu
lol laise; pos
already possibility script instanced map reason script assume; neu
think would nice similar script call instance script use ulduar; neu
'm talk implement processeventid instance script ulduar many destructible gameobjects need script and/or set data instance script implementing single processeventid instance script instead assign; neu
happy day system administrator; compound
lol nice job; pos
love commit message ^^; pos
nice thanks; pos
take time understand commit n't know principle lazy competition; neu
function logical unit code one transform machine code compiler decide inlined function remove; neu
main reason use function instead explicit assign case use 0 special value impossible guild note; neu
ok thanks much explanation; pos
think function keep use code; neu
another catch forum; neu
10292 thank; pos
silverice back; neu
graz silverice ^^; neu
n't know thanks tip; neu
'm wonder difference vector good list n't think 're wrong want able understand future; compound
think silverice already provide answer `` vector container provide less time access contain element ''; neu
btw use typedef collection thus 'll able change container type one place; neu
sure type change good container use 1 full loop element std :list std :vector expect big difference ok maybe small vector prio 2 push_back _at_ ai create vector think lot slow; compound
2 push_back ai create vector think lot slow list; neu
vector case vector reserve size use memory need reserve small reallocate memory block data move old new ... bad case; neu
vector good push_back reserve _exactly_ require data amount -pre-counting need push; neu
late crash problem crash load spell_bonus_data yes fix; neg
http //pastebin.org/420751; neu
include creature.h something; neu
file include ../../../src/game/hostilerefmanager.cpp:23; neu
n't want problem cyclic header dependence include header another header must _last_ look case; neu
linux error ... read 2-3 commits ago; neu
get error startup rev 10274; neu
http //pastebin.org/420751; neu
error jethro84530 get error startup since rev 10273; neu
work ok windows/vc90 need jalp fix ...; neu
../../../src/game/reputationmgr.cpp member function ‘ bool reputationmgr :setreputation const factionentry* int32 bool ’; neu
work include `` objectmgr.h '' btw; neu
forgot mention ubuntu 9.10 hope fix; neu
include `` objectmgr.h ''; neu
thanks test fix next push; neu
think factionentrycalc instead factionentry; neu
see line comment objectmgr.cpp box; neu
return false instead false; neu
right fix add 10269 thank; neu
../../../src/game/spellauras.cpp member function ‘ void aura :handleauramodshapeshift bool bool ’; neu
good revert relate aura change make laise ... continuously crash; neu
yeah crash even localhost use eyes beast http //www.wowhead.com/spell=1002; neu
sigh 2-3 month forum test one report crash work perfect get repo anyone blame people couldnt say word late btw nope revert kkthxbai; neu
btw config start crash nix big change like 10156 like every 3rd mango start; neu
yea please test clean btw eyes beast fine latest..; compound
yeah crash even localhost use eyes beast; neu
discuss; neu
`` think patch ready master. `` forum single word `` ready master ''; neu
sure let 's stop improve core structure revert everything ca n't regression production software ...; neu
laise lot crash dump forum; neg
've see copy x3 time still clean src; neu
axxus understand 's entirely possible aura system already finish stable 's one patch incompatible even likely people extra patch gettin; neu
understand use clean source player order offer crashdumps ... difficult repeat crash test enviroment revert 10155 try backport new collision vmaps system n; neu
typo aliance; neu
compile error linux ubuntu server; neu
// auctionho use.dbc faction field _player_ faction associate auction house race; neu
include `` unit.h '' `` src/game/auctionhousemgr.h ''; neu
thanks; pos
fact need include forward class declaration; neu
thank patch find apply ^^; neu
take break thank; pos
cool description hardly explain anything; neu
data like example 576 4.0 1.0 4.0; neu
still reputation rate error faction quest although data present db; neu
nice work; pos
awesome; pos
-- author= '' pasdvn gh email ''; neu
guess fixes ...; neu
want dispaly email address make; neu
github page generation code hide email; neu
email must require git use real emial n't want share n't know use fake instead; neu
wow thanks maybe patch relation infinite spawn chest solve perfectly; compound
next commit fix infinity looting; neu
forget sendpacket data; neu
thank point fixed 10228; neu
nice p; pos
enchanter enough require skill disenchant item party member party able roll disenchant ...; neu
already inform thanks anyway note work reimplement proper way ...; neu
agreed great work keep fellow developer dedication greatly apprecaited; compound
yep nice work; pos
disable `` need '' option item need; neu
's hack think ...; neu
typo; neu
description retail player debuff remove expired independent zone leave etc affect restrict zone; neu
work test o.o thanks; pos
understood fix small fix thank; neu
hum ... add; neu
's hack think parachute spell trigger spell 58601 `` trigger spell '' effect; neu
add aura remove exist special spell ... specially exist remove mount/form dummy spell; neu
´´but soon´´; neu
mean; neu
o_o; neg
thanks; pos
looks like 've mess revision number; pos
revision number overrate; neu
guess mean grant xd; pos
grunt client 's name login protocol mangos rely look connection.log file log directory client; neu
cool thx; pos
fix client crash issue alteract; neu
think remove bug says theres enough players battleground end hr min; neu
oh ok; pos
could google microsoft still refuse provide c99 related functionality original name namespace though nasty _isnan seem necessary; neu
thanks; pos
well think check windows.h present need check diff linux osx; neu
confirmed using std :isnan instead isnan solve issue osx; neu
amend forgot push; neu
always test commit ^^; neu
thanks; pos
may experience runtime error use windows; neu
epic commit; pos
hoooooly crap; neg
congratulations; pos
/cast instant orgasm rank25; neu
nice one great work lynx3d; compound
awesome commit realy scared information extract dbc/maps/vmaps wekk; compound
nice gratz dev; pos
congratulation; pos
epic commit indeed vmap need revamp huge step forward many thanks devs involve one; compound
cool `` official '' mango; neu
typo buid grantz dev status p; neu
commit 2 sql update db character characters.sql rev req put last sql update; neu
required_10160_02_characters_pet_aura bit 1 default null required_10160_01_characters_pet_aura bit 1 default null; neu
delete work; neu
delete work; neu
willemavjc create thread getmangos.com forum collaborate issue find solution another commit post comment say osx freebsd similar however case; neu
gigantic commit oo; pos
thanks; pos
one note spellauraholder :hasauraandmechaniceffectmask ...; neu
nice catch pasdvn; pos
pasdvn imo 're wrong name function say auras check n't follow name 'll turn another tc; neu
thanks pasdvn guess http //paste2.org/p/921034 trick also update patch http //getmangos.com/community/showthread.php t=14623 p=119952 viewfull=1 post119952 getmangos.com; neu
; neg
yes course right mean `` could also check spell 's mask additionally directly spellauraholder :hasauraandmechaniceffectmask ... '' ^^; neu
nice fix; pos
crash permanent; neg
must fix 10154; neu
mean mac able compile without export pkg-config 's path /usr/bin/pkgconfig/; neu
fix originally relate freebsd case n't know anything mac os related case test see affect ...; neu
vladimir; neu
done think edit wiki register account ...; neu
delete work; neu
time n't remove anything spell.dbc; neu
gear work; neu
great; pos
fact big difference 3.3.3 vs. 3.3.5a release prev release half year past mark point development restore functionality prev post-release client switch; neu
good; pos
ty tom; pos
support enus cause clearly see people connect play server however updated enus client get stick authenticating deleteing wtf/cache im going assume use eu client; compound
confirmed get stick authenticate well realmd.exe n't show attempt either; neu
strange lot people connecting playing almost certain though use eu client us im go update engb 3.3.5 report connect enus; neu
nvm find issue..the patch reset realmlist.wtf; neu
wow 2 1/2 years running private server cant figure thanks darkrulerz; neu
hangs authenicating try log; neu
problem; neg
line 1866 assert false; neu
must fix 10123; neu
sense make function visible globally; neu
feel free suggest good place put; compound
fix problem lot guids item n't work think thx; neu
fact current code expect change work future possible player guid always 0 high guid part; neu
fix compile; neu
ok forget insert comment sry; neu
shouldnt cleanupexpiredinstancesattime wrong; pos
check code see problem instresetevent current code.this local code problem ...; neu
problem; neg
fix 10095 thank; pos
netsky 's custom patch compile error clean mango; neu
least thanks commit; neg
could fix extrange mem leak 'm; neu
fix anything; neu
good sort overview future change maybe could spawn separate thread scheduler handle critical part code access would create headache also would increase performance; neu
yes one reason mostly attempt prepare base make instance save persistent storage map move example respawn timer objmgr late add pool spawn map local data; neu
wrong spell power damage x4 apply spelldamagebonusdone code list increase m_amount go spelldamagebonusdone apply spell power relate bonus; neu
old command let use case example explicit guid number id possible add creature_template/go_template shift link case also; neu
helpful thanks especially creature gameobjects; compound
helpful thanks especially creature gameobjects; compound
mangos throw error config file couldnt find debian etch update try follow fix; neu
think right fix check ace code return -1 -3 -4 value diff error state 0 ok; neu
bug reproducible computer work linux fix approach seem meaningless open function return either 0 -1 accord ace documentation prefix use './configure ... stage; neu
player sometimes n't get teleport death graveyard bg 's; neu
related; neu
; neg
think relate http //pastebin.com/eb6ncacg; neu
ok update rev9999 10059 crashe start crash almost every 10-20 min; neu
use 10051 16 hour uptime ...; neu
update 10065 30 min crash; neu
fixed commit lol; pos
yeah confirmed commit fix http //pastebin.com/eb6ncacg; compound
seems n't work blood plague/frost fever; neu
ok fix; pos
compile; neu
typo controlled; neu
fix 10057 thank; pos
n't typo typelist_3 typelist_4 define one line line 62; neu
gz; neu
nice p; pos
cool ^^; pos
's correct typelist_x macro help `` assemble '' list type contain x amount type object ... make sense; neu
ah sorry n't read correctly ... thought 'd define typelist_* thing; neu
's camera system; neu
commit inplementation player :setfarsightguid remove 's header still player.h void setfarsightguid uint64 guid; neu
fixed 10072 thank; pos
see thread mangos forum; neu
vladimir error git pull compiling error; neg
`` game.lib object.obj ''; neu
problem vs2008 try full rebuild; neu
wrong merge conflict solve; neg
really nice idea prevent enchant trade scam doubt blizzlike; neg
lot work commit good work; pos
sure like case client apply spell show functionality specific description tool tip `` spell _will_ cast ''; neu
sorry wrong right; neg
delete; neu
previously could replace trade item whatever want swap bag mate notice difference; neu
typo; neu
ah ok; pos
yes unsafe useless rename batter let as-is ca n't rename internal sql update guard anyway ...; neu
oh thank point ...; neu
incanter 's absorption rank 2 3 n't trigger spell define rank 1; neu
change m_target/m_spellproto gettarget /getspellproto old version easy debug ...; neu
ofc debug easy work low-level code reason apply abstract way access data; neu
revision long enough 10000 -d; neu
nice; pos
sharable quest still problems.is quest share new group member example example collect self objective item need go quest acceptor; neu
0; neg
0; neg
thanks wyk3d; pos
consider; neu
; neg
read prev note known compiler remove dead check 0; neu
hard time understand note get way cause problem macro; neu
red use pink; neu
lol; pos
first; neu
congrats; pos
fail; neg
lol vladimir rulez xd; pos
hahaha grats; pos
oh well ... leave space comment; neu
10 001 revert commit back; neu
least compile problem update p; neu
lol vladimir +1 xdd; neu
спасибо вам владимир; neu
nice commit; pos
gg; pos
next one probably call `` restore *nix build previous commit '' also know `` really really fix redundant empty line ''; neu
epic gz; neu
w00t; pos
epic; neu
lol good team; pos
give congratulation; pos
hop vehicle support release sooner late; neu
graz good work; pos
10000 revision congratulation thank people help; compound
gz 10000 best commits; pos
gj 10 000 10x; neu
congratz thanks everything; pos
wow rev 9999 surprise rev 10.000; compound
whitespace remove 10000 must something epic; neu
definitely typo-fix; pos
hope 's gon na like rev 9000 http //github.com/mangos/mangos/commit/8e8f7710e8baf29196256c6e0afcce1b7d3f3671 -d; compound
f5 f5 f5 f5 f5 f5 f5 f5; neu
lol; pos
kero99 yep 's; pos
tik tak tik tak 10k cooming soon; neu
hope rev 10000 add support vehicle; compound
http //twitter.com/mangoschangelog ftw; pos
vehicle work custom patch master nice dream; compound
f5 zzzzzzzzz ... f5 zzzzzzzzzzzz ... f5 zzzzzzzzzzzz ... f5 zzzzzzzzzz ...; neu
/kero99 xd; pos
whitespace remove 10000 must something epic; neu
vote multiprocessing; neu
/cast target=vladimirmangos mind vision; neu
lol hop something long like hell; pos
../../../src/game/gridmap.cpp member function 'bool gridmap :loaddata char*; neu
fix; neu
gridmap.h gridmap.cpp really need include class/struct declaration; neu
code move file new file good big touch simplify see move correctly; neu
one declaration header need gridmap.cpp; neu
8 commits ...; pos
yeah imagine rev 10k would 1 letter typo p; neu
bug release 10000 bug year 2000 p; neu
assure author also saw somewhere something like remember; compound
commit relate form crash fixing; neu
need move drain soul part code upper pcaster- dealdamage cuz m_target exist dealdamage; neu
assistent unintentional typo 'd think assistant; neu
fixed 9976 thank; pos
worldsession :handlepartyassignmentopcode still need fix; neu
vmaps memory leak set unload grid 0 1hour mangos-worldd process eats memory; neu
set 1 30min get crash.. way 's get crash ..; neu
vmaps memory leak set unload grid 0 1hour mangos-worldd process eats memory; neu
mmm ... crash unloadgrid=1; neu
also find spell part drop outdated code ... expect fix commit; neu
maybe could add `` beast within bestial wrath immunity '' 'hack aura :handlemodmechanicimmunity ... give spell immune_to_movement_impairment_and_loss_control_mask instead provided miscvalue 's clean sollut; neu
strange git silencely touch manually line ... restore soon; neu
revert 9943; neu
'm sit wonder cast creature*; neu
fix http //paste2.org/p/842259; neu
nice thx author; pos
many crash dump different `` menuid '' value one http //paste2.org/p/842699; neu
nvm; neu
cool ^^; pos
yeah commit realmd dont freeze 2000+ player try connect time crash; neu
useful work; pos
go neo one ... mean isnt offy let skinloot without loot first..; neu
note offy even convenient always loot creature even loot window empty skin mine get plant creature 's corp n't like offy behave matter w; neu
hmm change part commit old way work; neu
miss `` ''; neu
also additional compile error linux; neu
missing include `` shareddefines.h ''; neu
confirm; neu
seem miss closing parenthesis end; neu
thank repot fixed 9930 different way; neu
thank right; pos
member additional; neu
ofc fix next commit; neu
player kill credit group problem confirm fix add modified form 9920 thank; neu
think 's mistake pvictim player group_tap set result player_tap- rewardsingleplayeratkill pvictim honor reward send killer split group; neu
mangos still continue believe loot creature finally acknowledge wrong loot gameobjects; neu
void grouploot creature *creature loot *loot; neu
lol; pos
rsa expect idiotic note useful answer think corpse loot item looting go loot anyway plan like note discuss anything..; neu
darkrulerz right; neu
see talk impossible long ago make wowka321 work perfectly need one small thing understand completely line mangos simplify source code make work wit; neu
get idea mangos focus fix looting system expand every type loot go/skinning/blahblah get idea; neu
creature/go/item loot relate commit commit target specific problem existed code read commit note +move similar code common function related cleanup correct change affect explicitly code work creat; neu
make hard move worldobject commit adding abstraction function access field make field protect generic sollutions need code cleanup let see generic functionality commit make code; neu
comment refers particular commit politics mangos always good problem solve first globally bring elegance method work loot instead obvious personally hopefully; compound
fix thing level exist moment apply generic sollutions another porblem relate specific problem added code way old reuse big affect generic use apply; neu
dont understand uptight vlad rsa make comment without question helpful progressive commit consider commit looting seem tunnel vision though whatever; compound
rsa want say fix one thing would nice fix wide way future development something like; compound
applying loot rule game object loot would implementation new feature; neu
perhaps hunuza ... understand perspective ... however also believe darkrulerz help fill blank comment ...; neu
bg_ws_unk1 rename bg_ws_timer_enabled; neu
x-53 touring rocket new raf reward use mechanic mount 's two-seater though n't know 'll deal probably able use second seat treat vehicle; neu
thank fixed 9929; pos
commit ap include calculation damage cuz; neu
maybe spellmgr.h need include `` unit.h '' compile damageeffecttype variable best regard; neu
confirm issue else gcc wo n't compile; neu
probably forget break; neu
problem fix another way 9903; neu
yes use default add anyway; neu
think bug weapon skill beacause restart server even save char weapon skill go 1 mangosd.conf maxskill option n't work; neu
report getmangos forums please nothing particular commit; neu
afaik fix long time ago ... olynn say post forum back yet; neu
say notice revision back n't take much notice ayways yeah report forums please; neu
thank nf lot easy complex chat event quest like; compound
nice work mate know fair quest hold conversation npc/player and/or several npcs see lot easy guy; compound
commit try use quest flight taxi; neu
isknowhowflyin doesnt accept two argument ... commit break build; neu
work fine custom code change possible use code mangos team problem; neu
yeah find co-developer ... bad sorry vlad ... pull mangos repo already work 8hr straight fiing error make loopy ... sorry bout guy; neu
'where active_realm_id column name active_realm_id realm; neu
mango core problem use broken custom patch; neg
see hackworld use mtmaps; neu
definitely hsc ... dont even recognize code ... whats think vlad; neu
прошу прощения что пишу коммент не в тот коммит проблемы при компиляции смог излечить этим образом; neu
ну используете мангос то тут причем в нем проблем нет; neu
hva er poenget med å skrive russisk kanskje alle skal begynne å skrive sitt eget morsmål sånn som dette bare å gjøre ting enda mer vanskelig; neu
просто хотел узнать в чем может быть проблема ... т.к вы разработчик сего чуда вы должны знать; neu
為什麼都寫在俄羅斯？也許每個人都應該開始寫在他們的母語，只是複雜的一切？; neu
просто следите за актуальностью патчей которые вы ставите на ядро и всё будет оке это явно не проблемы разработчиков мангоса; neu
nofantasy-nak igaza van egész nyugodtan nekiállhatna mindenki az anyanyelvén írni végülis nem lesz nagy káosz; neu
immer die russe wo gfühl hän sie mieste ihrer eigene sproch statt änglisch schribe ... tztztz; neu
למה על הקומיט שלי אבל =\; neu
insider42 за патчами я слежу все дело оказалось в настройке проекта share game мудил с оптимизаций кудато тыкнул и все нарушил линки на библиотеки вот и вся проблема из за этого тут такой балаган банально попросил привести хотя бы догадки к; neu
hola que tal; neu
think use 0 instead null integer value; neu
bool changedspeed false; neu
sorry ask work -p; neu
... nice solution mount; pos
edit laise fast post response ask something similar p; neu
thank much explain laise ... helpfull future; neu
last arg use replace 280 speed player know mount 310 invincible 310 initial speed n't need check; neu
phail copy paste -_-; neu
thought p; neu
good commit fly dalaran mount; pos
found bug example mount fly headless horseman 's mount teleport stormwind dismount fly stormwind; neu
.gm _test_this; neu
lol 's nothing big plan improve script_command_ bit making useful event like creature `` talk '' quest end example instead source talk target switch find near buddy ta; compound
darn nofantasy make curious ... p; neu
w00t project need moar scriptz; neu
damn cant wait know comming mangos; neu
could update http //udbwiki.webhop.net/index.php/main_page 'll greatful; neu
ah thanks clarify noob doc system markup; neu
suppose /** else code-parsing doc system grab comment also apply msvs intellisense; neu
still offy-like offy mana gain health lost value scale base mana something like; compound
spell effect custom name use ay source something useful name; neu
wowhead source useful name; neu
never think use wowhead spell effect name; neu
renew talent empowered renew also heal twice fix http //github.com/zergtmn/mangos/commit/3837bcdc4f7ae38c47bc2f78ef613ff62d40c02e 's 322 branch need change one string `` triggeredbyaura- geteffindex effect_index_1; neu
maybe generic try http //github.com/orangevirus/mangos/commit/e96f1a63b1b8dfd92005ac577cd34e855bac65e6; neu
combustion wo n't work also need check exist pct modifier auras..also lot spell type proc flag ...; neu
http //www.wowhead.com/spell=1064 break update server 9851 9857; neu
fix 9858 .thanks report; neu
oh thanks 'm use patch 1,5 year always consider hack; neu
thank fix old bug multiple 2-3 time aura apply example frost trap; neu
frost trap 30 second; neu
; neg
default set 1; neu
yes 'm little confuse commit exactly clean; compound
question ...; neu
look like check table unique value talent ids skill ids delete unique index; compound
check nonexistent dbcs talent skill spell achivements char table delete; neu
revils correct; neu
ok thanks; pos
spell http //www.wowhead.com/spell=63675 insane damage player spam devouring plague ability button deal godlike dps; neu
strange happen 1678 spd deal around 1500 damage; neu
player duel pvp priest v warrior priest win spam one button lol; compound
4k+ instant damage 2500 spell damage bonus stats ok test; neg
similar report n't able reproduce; neu
anyway code look wrong; neg
nice commit; pos
n't choice instead choise; neu
community forum currently disabled due technical issue expect forum back may 3rd 2010; neu
's work fine; neu
thx hunuza; pos
test ... bug find commit thanks; compound
good take quite time hunt issue significant amount beer keg creativity increase level make possible actually track get thing control see recent commit 984; compound
use direct heal target like time heal heal effect however aura whose m_amount use calculation method n't run; neu
remove spellhealingbonustaken think keep wrong; neu
compile error linux centos line; neu
spell http //www.wowhead.com/spell=18562 much heal example rejuvenation heals 6000 cast swiftmend heals 7900 ... spend talent restoration take talent modify heal use tree form 60; neu
-3 instead -1 18 second regrowth 21 originally 12 rejuvenation 15 originally; neu
regrowth rejuvenation tick every 3 second; neu
hm fix yet; neu
full spell_bonus_data; neu
please give link/post spell_bonus_data relate dk disease wont ask custom patch cause obvious; neu
good ... more-more quest await ...; pos
forum still; neu
target_areaeffect_instant similar; neu
zergtmn +1 need damn target_7; neu
n't spell_script_target fill db developer ..; neu
yes unexpected add commit test data; compound
opcodes.cpp 0x50f 0x511 worldsession :handle_serverside; neu
unlike comrades.. big issue mangos-dev push commit without make sure compile fuck previous work ... hellscream evo-x might worship u think lazy bastard ... could least comm; neu
dont even try work otehr else issue wouldnt occur ... want naysay tell push broken repos ... repo countless others prior; neu
know absolute fact completely ignore work accredited repos attempt work think individual repository; neu
lol must care nonsense must care fork; compound
3razar3 use fork use fork problem ... mangos-dev problem fork thankful wonderful work.. way; compound
3razar3 wo n't comment opinion mangos team tell statement even remotely relate commit ...; neu
dont use fork; neu
3razar3 please dont drag ok; pos
n't use fork like mangos devs anyways actually write vladimir say would care word comment seem totally unrelated pointless mention r; neu
yeah okay bad ... disregard last 24hrs comment; neg
guess arent try hard enough ...; neu
3razar3 try see thing way seem get head far; neu
oh cwap solly fix asap; neu
n't link gcc compilation ok; neu
hate vs2010 's slow; neg
/agree pointless cant imagine anyone use anymore ...; neu
/agree completely full retail alot compile isnt go compile due depreciation; neu
hate vs2010 's slow; neg
vc80 maybe limit vc90 sp2/tr1 instal mostly porblesm vc80 current source; neu
sound good ... problem long vc90 stay; neu
lambdas also nice c++0x feature allow us drop functors function class currently use instance grid searcher; neu
sure last ... 1 less finished state current compiler bug read gcc mail list example; neu
nvm; neu
n't weekly wekly line 913 unimportant typo felt point; neu
fixed 9801 thank; pos
laise huge update awesome thanks; compound
thanks; pos
awesome; pos
`` see important update ... give example ''; neu
oh god laise 're beast p; neu
except easy code future also fix damage/heal time aura store caster damage apply meaning caster example dy dot still amount damage dependent target side ofc; neu
hi smal bug compilation; neu
get it.. say kill caster wont immediately stop dot 's run thier course ... right sound good; neu
oh god laise 're beast p; neu
ok thx take time answer; pos
nice job; pos
also fix shatter combo; neu
shatter combo fix 9784; neu
already revert revision xd; compound
anyone high conflagrate damage spelleffects.cpp line 512-513 try remove call spelldamagebonusdone maybe also taken; neu
clean core happen; pos
's bugreport core user n't test already maybe specific condition bug ... try get info user think patch ca n't cause bug affect single spell start aft; neu
example damage recount; neg
sorry insider42 base dont problem exist clean core maybe pala dk spell related; neu
100 clean core spell paladin; neu
howto clean core; pos
bug mage talent 12606 spell 43015 receive damage example dk blood plague receive million damage; neu
strange damage remain normal also try naked/full gear with/out talent difference; neu
hm full rebuild project character; neu
wrong value come insider addition sorry ^_^; neg
note bug happen rank 7 dampen magic rank 6 dont bug use win server 2008 x64; neu
db value wowka321 didnt manually edit come 1 db provider ytdb 2 core update; neu
db value wowka321 didnt manually edit come 1 db provider ytdb 2 core update; neu
wowka321 mangos.sql 55078 0 0 0.055 'death knight blood plague dummy proc; neu
ok think get fix soon thx 2all; compound
thx laise ^^; pos
thx xd; pos
`` return '' cause affected spell calculate spelldamagebonusdone/meeleedamagebonusdone; neu
know would good see ip ingame associate account see account player 1 account; neu
store last used ip account login mean search account ip; neu
thanks dasblub vladimir like option search account share ip something like; compound
nice thanks vladimir; pos
use exist; neu
something like '.lookup player ip ip limit account would nice yes; compound
would definitely interesting useful command; compound
9886 implement .lookup account command; neu
thanks; pos
thanks; pos
good see use dbc 's case; neu
like think; pos
example rsa 's script develop boss_spell_table useless compatible; neu
reqiures rewrite script; neu
big big thanks great work; compound
thanks vladimir keep good work; compound
thanks vladimir laise; pos
like think; pos
thanks; pos
spell like http //www.wowhead.com/spell=29722 http //www.wowhead.com/spell=47541 http //www.wowhead.com/spell=24275 etc crazy damage amount sometimes commit; neu
laise find already source problem possible soon tm fixed.. bet fix way find; neu
break feature someone already launch delay spell use bubble example make spell immune always hit even immunity; neu
игроки стали жаловаться что http //ru.wowhead.com/spell=33076 наносит урон вместо лечения причем это происходит не всегда а при каких-то особых условиях также говорят что иногда появляются невероятные цифры урона у некоторых спеллов как у спеллов мобов; neu
post english next time ...; neu
approximately periodic crush data various; neu
still forget format parameter; neu
fixed 9781 thank; pos
hello hunuza please tell kind crash relate; pos
thank; pos
movement opcode xd; pos
first one relate m_mover second one fix; neu
sake learning process mind ask move line make difference 'm try rude offensive 'm merely curious; neu
yea; neu
okay thanks; pos
thank; pos
compile error; neg
commit 9767 build linux; neu
blueboy fix add 9772 thank; neu
use bigint 8 byte instead int 4 byte go live 300 billion year; neu
n't use simple atoi check 's char number return null 's; neu
use sql instead one sql/updates/9767_03_characters_characters.sql already use patch till http //gist.github.com/363079 n't run query yet; neu
use bigint 8 byte instead int 4 byte go live 300 billion year; neu
one build error gcc seem problem operator stringstream; neu
compile error; neg
commit 9767 build linux; neu
go r ^^; neu
yeah know 's bind want fix find late 'm find p; neu
typo 1 character; neu
fixed 9773 thank; pos
indeed vlad even comment correct important code basically translation go others understand methodology process etc least 's 'm tell c++ book 'm try l; neu
new value db wrong; neg
+1; neu
error import mangos.sql clear new mango db; neu
wonder vladimir example use would i.e would need hide entry; neu
mostly add sqlstorage case check load find broken data dbcstore api look good function; neu
n't fully correct update come default value set fact different value instance include world map id 's; neu
hey nofantasy.. already instance section make timer lock stop infinite; neu
one explain hell line; neg
please know hell 're talk claim something bad design; neg
well mistake letter refers structure table sql; neu
yes dbc; pos
kind problem take say `` many broken spell '' relate table scar; neu
also bug report forum possible sql fix; neu
1 client switch spell remove need detect remove remove character_spell; neu
client switch 3.3.2; neu
client switch character_talent table implementation first login update server run query delete exist talent spell character_spell character use spell condition create secounds delay xxk chara; neu
finally thank; pos
know blizzard 's battlegroup clustering 100 server-side; neu
currently blizz use redirect battlenet world warcraft channel upon login; neu
`` think '' use load/send character battleground instance group different realm think main part code use connect battle group course delima set use; neu
try understand code ca n't figure exactly probably something redirect connection someone enlighten; neu
oh see well say guess havent study connect battle group thats get assume p; neu
well thats good thing us right except fact mangos build way cluster; neu
're connect proxy; neu
well thats good thing us right except fact mangos build way cluster; neu
oh true see would much less work; neu
also currently use account.v/s field leave fact whole auth system exploitable right; neu
lol ca n't fail provide pointer field ...; compound
mean function fails _is_ fail really returning salt sessionkey; neu
function fail; neg
've make change auth system http //github.com/lordjz/mangos/commits/security still test; neu
uint32 max_absorb spellproto- calculatesimplevalue effect_index_1; neu
chnage affect code work use singed int avoid build warning; neu
ok well mean right update crash every 10 minutes error 100+ people changed; neu
back int32 still crash sure 100 type chnage case ca n't relate crash/non-crash; neu
also maxlevel arena 70 80 arena minlevel arena 32 least 1 show startup error console; neu
error start http //github.com/mangos/mangos/commit/e420ce88b2b8ff1a653735675520095edf294fbd miss sql update try figure default value intention might miss something please p; neu
///- set server offline realmlist; neu
thank report fix 9748 apply chnages update field name allow use list sql update new plater/recommended setting addmins realm flag lose oflline flag set/remove; neu
win/mangosd100413.vsp; neu
thank usefull maintain tool; neu
got linux gcc 4.2 think problem win; neu
error; neg
restore build http //paste2.org/p/769947; neu
file include ../../../src/game/achievementmgr.cpp:33; neu
ok ty work fine; pos
begin regular frequently crash; neu
9749 fix like crash; neg
come two day uptime crash; neu
early talk uptime less day seem heal; neu
ok thank confirm help; pos
spell_proc_event delete 53710 53711; neu
rank spell chain need first rank list proper data; neu
ok thanks; pos
compile error gcc 4.2.1; neu
relate commit; pos
point may ask besides simplifying look like; neu
think code simplification important; neu
simplify; neu
nothing wrong important ... ask see miss important change simplify code; neu
well way ask question quite aggressive ...; neu
simple player see another player game; neu
vladimir dont mind kind problem talk affect player; neu
nice thanks vladmir; pos
items/containers player guid 2nd 3rd digit depend server group server eitrigg eu use 0x0680 mask item 0x4680 player 0x0680 ...; neu
last 3 byte guid mask type; neu
worry 2 case; neg
1 player higuid change commit failure code post forum probably cus lowguid fullguid commit; neu
1 ofc; neu
oh see thankyou; neu
use return bool value2 == player- hasspell value1 simplify condition_spell check also allow non-zero value value2; neu
vlad по поводу return // cheat; neu
mean something like http //paste2.org/p/766286; neu
зачем; neu
`` use ''; neu
someone provide proper sql gossip work; neu
strongly dependent use db project discuss use db project forum; neu
haha make enough good commits already sweat; compound
/target nofantasy; neu
show usual mango behavior push something increment revision number 'd count *real* commits implement something 'd even 1k; neu
sorry ... unproductive even decide trolling ... sadly funny post delete trust 'd love; compound
consider ... hm ... specific humor; neu
omg someone hack dasblub 's account xd; neu
see post vladimir reset 'all talent important expect make patch soon think great job vlad thanks; compound
excellent news; pos
think 'll problem learn spell spell_effect_learn ...; neu
test say problem base reset way resolve exist porblesm drop spell.dbc field 3.3.3; neu
hmm sure correct; pos
ask order include affect gcc learn purpose; neu
achievementmgr.h use enum gender define shareddefines.h shareddefines.h include achievementmgr.h necessary include .cpp file include shareddefines.h achievementmgr.h gcc require hav; neu
like case good explicit include achievementmgr.h; compound
really need everything need fully implement mentioned achievement exist commit; neu
need example achievement 1793 another way proper reward; neu
must fix 9709 maybe last case spell effect value claculation result remove 3.3.3 spell.dbc field; neu
need also character_glyph ^^; neu
first need fix finish item_text redundent state switch; neu
omg great; pos
thank much; pos
thaaanks p; neu
nice one thanks; pos
think error output code attach check describe good checked; neu
exactly get 3.3.3 support change one necessary source file; neu
sspellstore.lookupentry 74445 || // last added spell 3.3.2; neu
awesome great job; pos
find 303 master periodic merge 330 330 bracnh develop master commit also instered mixed way; neu
know git merge work commits mix old master revision see absent rev mostly; neu
oh god; pos
okay 'm pretty sure understand p; pos
av spell create mark either; neu
yes know ... think try make like still 3.2 since saw.. player- sendnewitem pitem num_to_add true bg_mark; compound
